#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2013-06-26T21:50:04 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)
#INFO	-ref=VIZ51cb61571d6b
#INFO	-out.max=unlimited
#INFO	queryParameters=23
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:III/176&cat:J/ApJS/194/38&cat:J/A+A/291/121&cat:J/A+A/308/481&cat:J/A+A/330/515&cat:J/A+A/442/229&cat:J/A+A/460/459&cat:J/A+AS/113/483&cat:J/A+AS/121/327&cat:J/A+AS/125/313&cat:J/A+AS/125/321&cat:J/AJ/108/1016&cat:J/AJ/115/168&cat:J/AJ/132/1714&cat:J/AJ/136/1645&cat:J/AJ/139/2014&cat:J/MNRAS/375/1381&cat:J/MNRAS/396/553&cat:J/MNRAS/422/2116&cat:J/MNRAS/423/993&cat:J/AZh/79/510&tab:{J/AZh/79/510/table1}&cat:J/PAZh/27/132&key:ucd=(spect.dopplerVeloc*|phys.veloc*)&key:source=rr+lyrae&HTTPPRM:&-ref=VIZ51cb61571d6b&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-ucd=(spect.dopplerVeloc*|phys.veloc*)&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AZh/79/510/table1
#-order=I
#-out=Name
#-out=Simbad
#Simbad=Simbad
#-out=[Fe/H]
#-out=Theta
#-out=Vres
#-out=Ra
#-out=Zmax
#-out=e
#-out=_RA
#-out=_DE
#
#
#RESOURCE=yCat_80790510
#Name: J/AZh/79/510
#Title: Galactic orbits of RR Lyrae variable stars (Borkova+, 2002)
#Table	J_AZh_79_510_table1:
#Name: J/AZh/79/510/table1
#Title: Orbital elements for nearby RR Lyrae variables
#Column	_RAJ2000	(F8.4)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F8.4)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Name	(a8)	Name	[ucd=meta.id;meta.main]
#Column	Simbad	(A6)	ask the SIMBAD data-base about this object	[ucd=meta.ref]
#Column	[Fe/H]	(F5.2)	Metallicity	[ucd=phys.abund.Fe]
#Column	Theta	(I4)	Galactic azimuthal velocity component	[ucd=phys.veloc]
#Column	Vres	(I3)	Full residual velocity relative to the local solar centroid (with (U,V,W)_{sun}_=(-10, 10, 6)km/s)	[ucd=stat.fit.residual;phys.veloc]
#Column	Ra	(F4.1)	Maximum distance of the orbit for the Galatic centre (orbital apogalactic radius)	[ucd=pos.distance]
#Column	Zmax	(F4.1)	Maximum distance from the Galactic plane	[ucd=pos.distance]
#Column	e	(F5.2)	Eccentricity of galactic orbit (1)	[ucd=src.orbital.eccentricity]
#Column	_RA	(F8.4)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F8.4)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
_RAJ2000	_DEJ2000	Name	Simbad	[Fe/H]	Theta	Vres	Ra	Zmax	e	_RA	_DE
deg	deg	 	 	[Sun]	km/s	km/s	kpc	kpc	 	deg	deg
--------	--------	--------	------	-----	----	---	----	----	-----	--------	--------
005.9295	+29.4010	SW And  	Simbad	-0.38	 200	 40	 9.0	 0.4	 0.01	005.9295	+29.4010
019.3642	+38.9506	XX And  	Simbad	-2.01	  18	325	19.3	11.3	 0.91	019.3642	+38.9506
355.6285	+43.0143	AT And  	Simbad	-0.97	  10	292	12.5	 7.6	 0.91	355.6285	+43.0143
028.7846	+43.7657	CI And  	Simbad	-0.83	 276	113	21.5	 2.6	 0.38	028.7846	+43.7657
016.3569	+34.2204	DR And  	Simbad	-1.48	 -94	357	16.0	 6.6	 0.83	016.3569	+34.2204
154.0206	-29.7284	WY Ant  	Simbad	-1.66	 -46	351	17.5	14.0	 0.97	154.0206	-29.7284
222.2084	-71.3283	TY Aps  	Simbad	-1.21	   8	247	 7.7	 7.0	 0.80	222.2084	-71.3283
223.0226	-79.6796	XZ Aps  	Simbad	-1.57	 -17	243	 8.1	 5.7	 0.94	223.0226	-79.6796
318.8244	+00.0763	SW Aqr  	Simbad	-1.24	   3	369	18.2	 9.5	 0.94	318.8244	+00.0763
324.0352	+03.2306	SX Aqr  	Simbad	-1.83	 -67	482	34.9	16.9	 0.88	324.0352	+03.2306
330.4814	-05.6008	TZ Aqr  	Simbad	-1.24	 162	 65	 8.2	 1.1	 0.14	330.4814	-05.6008
343.5340	-12.3607	BO Aqr  	Simbad	-1.80	 163	111	 9.4	 1.9	 0.37	343.5340	-12.3607
354.6370	-09.3187	BR Aqr  	Simbad	-0.84	 180	 62	 8.5	 1.7	 0.01	354.6370	-09.3187
314.4517	-05.6852	BT Aqr  	Simbad	-0.29	 144	 75	 7.5	 0.9	 0.30	314.4517	-05.6852
317.5535	-01.7212	CP Aqr  	Simbad	-0.90	 167	123	 9.5	 0.8	 0.42	317.5535	-01.7212
349.8217	-24.2163	DN Aqr  	Simbad	-1.63	  -3	383	25.9	13.0	 0.95	349.8217	-24.2163
309.5627	-02.8901	AA Aql  	Simbad	-0.58	 152	 86	 7.9	 0.8	 0.13	309.5627	-02.8901
308.1315	+00.5853	V341 Aql	Simbad	-1.37	 103	201	 9.7	 5.2	 0.41	308.1315	+00.5853
269.7947	-49.4335	S Ara   	Simbad	-1.43	  96	193	10.1	 0.9	 0.66	269.7947	-49.4335
270.7679	-52.7224	MS Ara  	Simbad	-1.48	  21	220	 7.4	 4.8	 0.92	270.7679	-52.7224
047.1287	+10.4459	X Ari   	Simbad	-2.40	 -44	264	 9.0	 0.5	 0.83	047.1287	+10.4459
107.8959	+40.7770	TZ Aur  	Simbad	-0.80	 204	122	14.2	 2.6	 0.33	107.8959	+40.7770
218.3884	+31.7546	RS Boo  	Simbad	-0.32	 243	 31	10.6	 1.0	 0.09	218.3884	+31.7546
232.6635	+35.7845	ST Boo  	Simbad	-0.86	 141	112	 8.3	 2.2	 0.14	232.6635	+35.7845
216.8957	+36.0456	SW Boo  	Simbad	-1.12	-142	524	68.3	55.1	 0.90	216.8957	+36.0456
220.5557	+28.2065	SZ Boo  	Simbad	-1.68	 101	119	 8.1	 2.0	 0.33	220.5557	+28.2065
221.2748	+41.0289	TW Boo  	Simbad	-1.41	  -1	327	14.7	 9.5	 0.94	221.2748	+41.0289
229.2722	+35.1160	UU Boo  	Simbad	-1.92	   5	372	19.9	11.2	 0.96	229.2722	+35.1160
209.6931	+12.9518	UY Boo  	Simbad	-2.49	  27	284	13.1	 8.0	 0.93	209.6931	+12.9518
