objid,ra,dec,u,g,r,i,z
1237671557008589076,83.15444941,0.18872399,18.961164,16.922249,16.084442,15.736115,15.527432
1237671557008589142,83.15385616,0.18791006,20.939638,19.260706,18.718851,18.504425,18.432856
1237671557008589088,83.15565258,0.18751472,18.737019,17.168789,16.91968,16.838032,16.796999
1237671557008589112,83.15515886,0.18850591,20.203415,18.507025,17.954885,17.716211,17.641411
1237671557008589143,83.15186752,0.18704726,20.541956,19.216129,18.730389,18.55595,18.390085
1237671557008589093,83.15114848,0.18730337,18.45153,17.061594,16.981907,17.016155,17.060785
1237671557008589095,83.15156907,0.19051178,19.917402,18.019968,17.241076,16.886711,16.676653
1237671557008589101,83.1569363,0.18650355,19.787333,18.325758,17.793184,17.577122,17.478994
1237671557008589111,83.15718779,0.18833884,20.311815,18.628693,18.08371,17.846405,17.750288
1237671557008589120,83.15143351,0.18690812,19.94742,18.465885,18.09322,17.955009,17.815176
1237671557008589152,83.1518853,0.18584733,24.634642,20.373152,19.46586,19.261047,22.826893
1237671557008589166,83.15366147,0.18553377,24.634642,25.114368,19.667013,24.361794,19.295315
1237671557008589072,83.15812151,0.18600277,18.573528,15.551937,14.341043,14.828641,13.545475
1237671557008589074,83.14977969,0.19078057,17.361006,15.487112,14.782102,14.520915,14.378691
1237671557008589077,83.15317878,0.18467629,19.346838,16.81086,15.845336,15.443254,15.197048
1237671557008589085,83.1588541,0.1880774,20.127035,17.635408,16.837589,16.4401,16.313971
1237671557008589086,83.15485771,0.18323179,18.623615,17.210928,16.762184,16.586847,16.514065
1237671557008589089,83.15104995,0.18595929,18.71435,17.039042,16.867704,16.830721,16.826406
1237671557008589100,83.14928789,0.18882606,24.634642,17.859768,17.561914,17.45612,17.505892
1237671557008589113,83.15187043,0.19230224,20.001478,18.590801,18.069584,17.872227,17.738691
1237671557008589121,83.15307466,0.18358248,19.983425,18.546021,18.046659,17.842012,17.722097
1237671557008589132,83.1598663,0.19176343,20.387602,18.837486,18.357393,18.162958,18.136862
1237671557008589134,83.15747911,0.18286643,21.401335,19.000275,18.925709,18.941463,18.688492
1237671557008589138,83.14951187,0.18648107,20.632908,19.149164,18.664024,18.472172,18.291338
1237671557008589148,83.15751144,0.18597531,25.546896,26.119789,25.562183,18.040857,23.500486
1237671557008589162,83.15091167,0.18410269,24.634621,25.11438,19.076197,24.361794,18.733526
1237671557008589073,83.16435451,0.19169305,14.371357,11.776152,14.567814,14.705946,13.599407
1237671557008589075,83.16230085,0.18898989,18.954065,15.875349,14.731057,14.262855,13.972543
1237671557008589079,83.15365031,0.19708493,19.628395,17.47983,16.593904,16.236208,16.013596
1237671557008589080,83.14607905,0.18919503,18.470697,16.931196,16.343458,16.118647,15.992215
1237671557008589081,83.16431518,0.19197484,24.634642,25.11437,24.802019,24.361794,16.236971
1237671557008589087,83.16437989,0.19150931,17.838634,19.606775,24.802019,19.800077,17.515104
1237671557008589090,83.14598918,0.18262093,20.028214,17.881617,17.110605,16.754606,16.557772
1237671557008589092,83.15417948,0.20015995,19.939102,17.979923,17.132502,16.785051,16.573029
1237671557008589094,83.14856063,0.19473404,20.108709,18.052086,17.169054,16.829813,16.605581
1237671557008589103,83.14411352,0.19185624,19.406565,17.849489,17.678532,17.688997,17.680798
1237671557008589104,83.14613503,0.18058076,19.507704,18.247698,17.82629,17.653976,17.59742
1237671557008589106,83.16291397,0.18615315,19.898062,18.504536,17.993519,17.821152,17.725712
1237671557008589107,83.14801142,0.19605022,19.911268,18.513014,18.104622,17.866301,17.726128
1237671557008589108,83.14799695,0.19167776,20.340418,18.71344,18.037138,17.760592,17.593414
1237671557008589116,83.15550277,0.1982816,20.083548,18.586182,18.12392,17.926706,17.839668
1237671557008589117,83.14768814,0.19570794,19.92458,18.571499,18.140413,17.93158,17.884985
1237671557008589122,83.14356475,0.18759493,20.033154,18.712385,18.255905,18.08493,18.014345
1237671557008589126,83.16288488,0.18821443,20.245638,18.710209,18.121983,17.963852,17.901136
1237671557008589127,83.16021468,0.19340316,20.318813,18.779451,18.276821,18.064976,17.997202
1237671557008589128,83.15401229,0.19850828,20.238251,18.829271,18.36408,18.158241,18.074778
1237671557008589147,83.15300453,0.18013149,20.465757,19.157501,18.706223,18.569244,18.409704
