objid,ra,dec,u,g,r,i,z
1237667448340676893,185.54269668,25.69280918,19.234221,18.173058,17.757338,17.589685,17.534723
1237667912740897072,185.43769321,25.84036793,23.752958,21.050976,19.516155,18.268734,17.601988
1237667912740898056,185.43943028,25.86892013,24.988422,24.480228,23.993195,22.495461,22.726009
1237667448340677660,185.57874927,25.68052669,23.386896,23.406185,22.538023,22.248116,21.549505
1237667912740897971,185.49602744,25.96842899,25.161186,24.8668,23.192568,22.338642,21.574541
1237667912741027876,185.7581484,25.96678408,25.481754,25.354689,24.690157,22.895693,21.202166
1237667448340676994,185.47588785,25.74176597,22.644194,24.409126,24.901791,24.297056,22.706175
1237667448340677534,185.48586236,25.73086237,24.474335,23.291756,22.600533,22.348804,22.132669
1237667448340677714,185.51892503,25.70443487,25.186693,24.495806,24.402676,22.661041,21.592745
1237667912740897970,185.49660467,25.9697618,25.23185,23.320616,21.72822,20.897026,20.353491
1237667448340677092,185.4364596,25.83308055,23.654617,22.021273,20.532194,19.357483,18.761082
1237667448340808519,185.78455619,25.75014844,24.777969,25.846165,22.564577,24.71089,22.956835
1237667912740897510,185.44981936,25.90865167,22.323839,21.958958,21.562088,21.167578,21.212725
1237667912740897524,185.45305857,25.91698114,22.830517,22.546667,21.679186,21.286634,20.76486
1237667912740898054,185.43555033,25.851576,23.992643,25.384533,23.463024,22.069962,21.12582
1237667912740898076,185.46589251,25.93795037,24.077908,25.109812,23.090101,21.594196,20.757635
1237667912741027874,185.75962225,25.96708833,24.765865,23.690535,24.289999,23.349474,21.173399
1237667912741028248,185.70260369,26.00205965,25.56971,22.874989,22.89497,22.281784,21.350021
1237667912741028705,185.79045399,25.93236826,23.330126,23.470127,22.643644,22.202402,22.204441
1237667912741028875,185.73240879,25.98780987,25.853186,25.55604,25.496166,24.208576,20.884209
1237667912741028883,185.8051767,25.90263948,25.08358,24.763796,25.915131,23.949507,20.97835
1237667448340546439,185.15777414,25.66548688,23.792622,25.55805,22.742947,24.542749,23.106115
1237667448340676929,185.47758456,25.73464599,21.510313,19.974403,19.238718,18.902164,18.752342
1237667448340676993,185.47563591,25.73890313,22.632172,24.486391,24.649351,23.683449,23.005022
1237667448340677022,185.51982882,25.69986375,22.262045,21.140381,20.716257,20.510878,20.35778
1237667448340677150,185.4552232,25.76500317,23.010244,22.708828,22.124046,21.604454,21.7234
1237667448340677510,185.47123096,25.74366736,24.510698,24.093714,22.458414,21.906563,21.306931
1237667448340807979,185.81113297,25.79791613,21.044699,20.148218,19.927933,19.750866,19.692936
1237667448340808520,185.78602516,25.75016073,24.622532,24.591825,23.096338,25.330963,23.315979
1237667448877678744,185.86850832,26.24883252,21.455582,21.277807,21.107426,20.946968,20.960514
1237667912203960842,185.25604619,25.53031172,25.671249,24.856318,22.86729,22.67042,22.71562
1237667912204222975,185.90479804,25.46135818,24.857948,23.621325,22.495996,22.436071,22.065725
1237667912740897119,185.43335374,25.8459043,21.576275,20.846996,20.546696,20.58094,20.613947
1237667912741027867,185.75811467,25.97075966,15.178287,12.505542,12.104109,11.991995,13.650574
1237667912741028125,185.72782166,25.99101607,22.004797,25.136284,24.10438,24.218237,22.257242
1237667912741028234,185.69423598,26.00745874,24.343571,23.303251,24.716257,24.118557,22.355881
1237667321646547944,185.45020941,26.27624787,23.730896,23.405434,23.42358,22.116716,21.606928
1237667321646612824,185.62403003,26.30489825,22.27104,21.02655,20.384785,20.171274,20.075043
1237667321646612903,185.5037458,26.29051199,23.798527,22.635832,20.893841,20.384127,20.023664
1237667321646613362,185.64037072,26.30494842,24.035872,23.153891,21.668194,20.230873,19.376421
