objid,ra,dec,u,g,r,i,z
1237671255831806253,65.94104145,16.27787143,20.396866,18.752123,17.95763,17.557381,17.284565
1237671255831937291,66.15075245,16.52441601,21.902157,19.961138,19.137163,18.749048,18.470205
1237671255831871874,65.99712284,16.3646008,23.319792,21.132622,19.289129,17.736231,16.867813
1237671255832134578,66.49365749,16.69593035,25.126289,24.441685,22.509491,21.831814,20.986578
1237671255831740598,65.85268433,16.05005315,21.152437,19.397528,18.412764,17.891119,17.617647
1237671255831741313,65.8561055,16.06468438,25.573671,23.610756,22.106003,20.597849,19.57478
1237671255831741507,65.84841534,16.03005415,25.313387,24.496935,24.615856,21.945423,20.767061
1237671255831871868,65.99371618,16.36033913,24.631884,24.367216,22.606884,21.243067,20.229755
1237671255832003059,66.30170697,16.62296124,22.636679,20.456539,19.639242,19.237379,18.975203
1237671255832068316,66.42546206,16.67572772,25.727041,25.493803,22.910931,21.464994,20.294573
1237671255832134747,66.61622501,16.71909421,23.330231,23.101164,22.474417,22.114824,22.543358
1237671255831806107,65.96576797,16.32043197,21.900476,20.066574,19.165222,18.72241,18.46706
1237671255831806356,65.90877972,16.21635742,22.083714,20.236874,19.029453,18.471136,18.148239
1237671255831806357,65.90973644,16.21849148,24.321695,24.716124,22.343668,20.627523,19.749802
1237671255831871867,65.99322393,16.35986427,24.666094,20.791071,19.143078,18.456152,18.023211
1237671255831937962,66.08420122,16.46583234,25.099302,25.315437,22.842512,22.530115,21.794445
1237671255832003060,66.30071729,16.62308119,24.229078,22.185022,20.395523,19.215322,18.570782
1237671255832003221,66.22603977,16.57987999,23.123657,21.498074,21.00407,20.67137,20.454748
1237671255832068696,66.35704851,16.64959006,22.400076,20.785774,19.925827,19.575083,19.252979
1237671255832068841,66.42094838,16.67442635,24.415838,25.838465,23.817354,22.649986,21.362131
1237671255832134149,66.52682051,16.70454129,22.85833,20.201944,18.647017,17.939842,17.484507
1237671255832134150,66.52785967,16.7044593,24.658922,24.202324,24.011551,21.874857,20.926804
1237671255832134268,66.48405853,16.69381234,24.500261,22.547226,21.818115,21.406029,20.993404
1237671255831806033,65.92472779,16.2500564,23.804573,24.907938,24.262764,23.205252,23.025925
1237671255831806567,65.91846633,16.23835272,25.517565,22.596844,20.567326,19.271633,18.538523
1237671255831806721,65.90074434,16.20021402,24.408998,24.539858,22.62686,22.167406,21.752247
1237671255831806935,65.90266263,16.20572118,24.415726,25.460653,25.301979,22.175148,22.809885
1237671255831937195,66.0979302,16.48070655,19.778168,17.831396,16.920261,16.491016,16.218414
1237671255831937292,66.14961447,16.52540931,23.592222,24.113163,21.796879,21.268421,20.830133
1237671255831937366,66.18675782,16.55404228,19.479334,17.732689,16.967001,16.608648,16.362394
1237671255831937674,66.07467079,16.45670115,23.850771,22.219469,20.457005,19.461565,18.707169
1237671255832002905,66.28369831,16.61463987,21.062542,19.460207,18.539957,18.12187,17.83457
1237671255832002934,66.30746509,16.62690694,21.423704,18.496088,16.96401,16.304712,15.879201
1237671255832003224,66.23012178,16.58288114,23.88306,22.908749,21.220325,19.890612,18.989944
