objid,ra,dec,u,g,r,i,z
1237673740465277969,91.25295091,24.00172604,23.969383,24.370472,22.317427,20.479771,19.694897
1237673740465277058,91.25711097,23.9974543,23.110163,20.314257,19.15358,18.569263,18.123501
1237673740465277578,91.25290618,23.99316381,25.883272,21.881355,20.099302,19.387697,18.864365
1237673740465278155,91.24943192,23.99362895,23.198872,23.974972,22.442665,21.089092,20.531898
1237673740465276569,91.25823435,23.99409265,20.9909,19.158642,18.049105,17.529428,17.204731
1237673740465277022,91.24169105,23.99360754,22.166977,20.214664,19.510416,19.094864,18.893658
1237673740465277023,91.24232198,23.99461823,22.230742,20.78042,19.745251,19.199604,18.78969
1237673740465277024,91.24377696,23.99361956,24.081736,21.463512,20.157322,19.565693,19.050406
1237673740465277070,91.26097593,24.00138817,22.902494,22.53208,21.066288,20.276886,19.851181
1237673740465277554,91.24049932,23.99681215,23.04973,20.765963,19.609945,19.034548,18.693703
1237673740465277609,91.26057476,23.99820684,24.005417,24.362545,22.567009,20.820889,20.08058
1237673740465276538,91.25168023,23.98977744,21.334082,19.450771,18.349854,17.806343,17.437422
1237673740465276570,91.26082119,23.99378972,24.758968,23.219074,21.480089,20.83341,19.925203
1237673740465276582,91.25056973,24.01172567,19.446634,17.580534,16.573399,16.057423,15.721544
1237673740465276583,91.24548756,24.00958216,23.703772,21.142302,19.466421,18.37006,17.753551
1237673740465276584,91.24794894,24.00999269,24.854355,23.061123,21.42782,20.009802,19.31706
1237673740465276585,91.24991467,24.01292709,23.582108,24.651646,21.356459,20.037106,19.153967
1237673740465276586,91.24943229,24.01095459,24.99884,22.545208,21.224142,20.538536,20.236084
1237673740465277025,91.24019505,23.9926337,23.034159,21.417921,20.155878,19.612764,19.232725
1237673740465277068,91.26042991,24.00365805,23.013716,20.534639,19.485611,18.923388,18.500223
1237673740465277069,91.26124765,24.00382672,25.224722,21.402596,19.7871,19.103535,18.653486
1237673740465277548,91.23784782,23.99745242,23.769329,21.143402,19.944649,19.499191,19.197933
1237673740465277558,91.24852657,23.98851244,25.274731,22.714479,21.271521,20.622051,20.02696
1237673740465277608,91.261261,23.99896166,23.245443,22.21286,21.183346,20.623634,20.330963
1237673740465277620,91.26043231,24.00830489,24.9254,22.307674,20.492838,19.322172,18.632469
1237673740465277949,91.23561251,23.99801483,23.022749,24.525284,22.149961,21.423037,21.012381
1237673740465275668,91.26552932,23.9976819,18.500082,16.731388,15.847649,15.388366,15.083584
1237673740465275669,91.26449196,23.99806388,21.691486,20.277946,19.2019,18.655121,18.36964
1237673740465275670,91.26548757,23.99413301,24.511793,21.660334,20.414175,19.718016,19.435444
1237673740465275671,91.26772368,23.99638184,25.066151,23.609945,21.492561,20.011007,19.177532
1237673740465275672,91.26683851,23.99609597,24.773594,22.480415,20.565752,19.846897,19.407837
1237673740465276490,91.24294715,23.98510575,21.644852,19.629423,18.555023,17.992504,17.62109
1237673740465276492,91.24344131,23.98713584,23.992392,21.252333,20.017893,19.396482,18.974192
1237673740465276505,91.23304178,24.00293609,19.739552,17.88695,17.359238,17.093683,16.879816
1237673740465276506,91.23387741,24.00093859,20.560961,18.870747,17.923264,17.452888,17.160593
1237673740465276507,91.23475112,24.00355837,24.832956,22.578651,20.668617,19.68531,18.994104
1237673740465276544,91.25397729,23.98716213,21.321827,19.27953,18.148687,17.531462,17.130239
1237673740465276597,91.26433832,23.99066606,20.529375,17.956726,16.487263,15.73822,15.213267
1237673740465276598,91.26292289,23.99075062,21.512493,19.538221,18.483315,17.958622,17.616808
1237673740465276625,91.25599434,24.01228036,20.455824,18.670404,17.695717,17.240511,16.941645
1237673740465276626,91.2548487,24.01272418,24.499977,21.2857,19.945551,19.357769,18.966608
1237673740465276627,91.25717467,24.01314927,24.958939,24.565332,23.713219,21.305758,20.354019
1237673740465277026,91.23905574,23.99092973,24.671434,24.962479,22.599081,21.643869,20.987839
1237673740465277557,91.24872586,23.98645228,23.425379,21.277498,19.945192,19.30378,18.833954
1237673740465277560,91.23654556,24.00808211,23.773876,22.420557,20.912046,19.801611,18.99062
1237673740465277561,91.23534328,24.00857328,23.562347,25.228636,22.300755,21.177011,20.488413
1237673740465277572,91.23852989,24.01032206,23.859468,24.905685,22.323158,20.693914,19.68195
1237673740465277573,91.23946119,24.01024687,24.473736,23.114311,21.576406,20.949532,20.300913
