objid,ra,dec,u,g,r,i,z
1237667107965109535,129.87745945,19.6597332,23.409052,25.195921,24.118916,22.449652,21.13623
1237667255604477990,130.32181814,19.68488867,18.813667,17.326155,16.816345,16.635059,16.564941
1237667107965109379,129.89487663,19.58371168,23.09017,23.883261,23.205782,22.556208,22.451323
1237667107965109440,129.88392479,19.71961886,25.385651,25.94945,22.724337,24.549456,23.414469
1237667107965109566,129.89462016,19.74873978,25.730192,25.578804,24.690605,22.290443,22.648558
1237667112254440023,130.29733744,19.76437343,22.860744,24.479849,14.992867,24.94706,22.0256
1237667142325633085,129.94656809,19.81945274,16.72043,15.461883,15.046679,14.919751,14.878709
1237667212654805409,130.03802719,19.46512667,23.808996,21.102524,19.705429,18.517693,17.93084
1237667255604478818,130.3231808,19.67438506,24.400679,24.312155,22.778494,24.541061,22.999851
1237667107965109533,129.87781443,19.63940246,24.004236,24.59866,22.83387,22.276361,21.121357
1237667112254374223,130.16602287,19.86838232,15.868536,15.315061,14.254511,14.132735,14.213622
1237667112254440067,130.23010065,19.83865722,23.019491,24.14432,22.559553,21.918968,21.788954
1237667112254440213,130.20503373,19.85306852,23.803738,22.826269,21.13303,20.497972,20.316246
1237667142325698666,130.04802309,19.87134208,15.92951,14.727545,14.236669,14.076345,14.051246
1237667212654805057,130.02940951,19.46642078,19.718231,17.063623,15.638829,14.875122,14.469372
1237667212654805120,130.0771177,19.4567686,16.226995,14.7612,14.300149,16.312542,14.15077
1237667212654805121,130.06453038,19.45859897,17.16733,15.402406,15.580149,15.406586,13.229205
1237667212654870674,130.27195317,19.53143433,23.629614,20.761118,19.349842,18.262541,17.675283
1237667212654870681,130.27004982,19.53014275,24.272774,25.463186,22.059874,22.333939,21.507004
1237667212654870811,130.18809054,19.47335407,21.241415,19.764578,19.108711,18.888977,18.701984
1237667212654936706,130.31007621,19.59499402,24.675634,24.316093,22.430395,22.513327,22.604858
1237667212654936740,130.31351003,19.6037136,26.030476,24.444233,24.000183,22.131136,21.545851
1237667255604477991,130.32314782,19.68534352,24.920692,21.332945,19.837877,19.091307,18.691721
1237667107428303133,130.16866193,19.35827159,23.957893,24.014896,22.97209,22.464306,22.226093
1237667107428303587,130.24575429,19.38345607,25.344025,22.636295,21.091208,20.172626,19.532579
1237667107428434206,130.40913668,19.54638044,22.631897,20.211884,18.867006,18.309427,18.000544
1237667107428435052,130.41427723,19.55861759,25.569,25.034613,24.612198,22.140032,21.372147
1237667107965108312,129.76551564,19.67397711,24.590076,21.554146,23.936895,22.122625,22.62912
1237667107965109584,129.87884055,19.63163277,25.348156,25.301231,24.813421,23.592197,20.739935
1237667112254439868,130.30031959,19.91883462,24.877335,25.13275,24.808569,24.361797,22.826893
1237667112254440026,130.30096854,19.76246807,22.757349,20.489298,18.958874,17.833376,17.188032
1237667112254440027,130.29990925,19.76273518,24.109602,23.737974,24.731655,22.742804,22.715456
1237667112254440066,130.23056936,19.839407,23.462204,21.526068,19.98189,19.033838,18.475742
1237667112254440102,130.28210463,19.79191033,21.910675,21.189306,21.066841,21.026276,20.86455
1237667142325633126,129.96896561,19.83891809,24.439159,21.847301,20.358067,20.012947,22.826895
1237667142325698668,130.04444407,19.87211732,24.191465,23.33721,23.834991,22.075998,22.662291
1237667142325699139,130.06000727,19.87483127,26.201591,25.095003,23.619524,21.588751,21.05364
