objid,ra,dec,u,g,r,i,z
1237668355109617849,259.36987383,43.16745685,16.54155,15.142482,14.523984,14.274159,14.115083
1237668355109617871,259.36335216,43.17850967,19.319778,18.290106,17.981688,17.897697,17.911007
1237668355109617850,259.37627216,43.16668296,15.907535,14.844834,14.482976,14.381193,14.343136
1237668355109617872,259.37268504,43.17100698,19.516539,18.615166,18.292202,18.219374,18.304667
1237668355109617881,259.37032231,43.17191412,20.521351,25.114382,20.371964,19.233883,19.606689
1237668355109683315,259.38374391,43.14988984,20.158745,18.930132,18.727837,19.288189,22.826843
1237668355109617851,259.35933604,43.19517272,16.197258,14.979514,14.854782,14.850682,14.827508
1237668355109617856,259.36797715,43.18005952,16.831017,16.369074,16.679085,16.964104,17.199766
1237668355109617857,259.38775724,43.16665046,17.879313,16.717424,16.215599,16.028271,15.937679
1237668355109617868,259.38747373,43.15585769,19.160656,18.20266,17.843685,17.754658,17.746052
1237668355109683278,259.39602638,43.14108553,17.56402,16.286196,15.874385,15.730803,15.707213
1237668355109683285,259.38884053,43.14246077,18.419456,17.300072,16.851168,16.642715,16.564039
1237668355109683299,259.38732785,43.14139261,19.245451,18.248018,17.986456,17.854452,17.905983
1237668355109617845,259.34113379,43.21725722,15.654087,14.659883,14.564876,14.240053,13.35762
1237668355109617848,259.37300733,43.20411539,16.424482,14.987152,14.366927,14.115713,13.959301
1237668355109617852,259.36056588,43.1973135,17.131784,15.64839,15.139744,15.011779,14.966312
1237668355109617853,259.401457,43.1588359,16.515554,15.399673,15.610021,15.811379,15.928319
1237668355109617855,259.38903852,43.1779073,17.725834,16.575918,16.068449,15.869207,15.779832
1237668355109617864,259.39053574,43.18958522,18.997969,17.973539,17.524675,17.370018,17.336584
1237668355109617869,259.40523582,43.16424302,19.179348,18.261967,17.972279,17.913296,17.947029
1237668355109683273,259.40416972,43.11270372,16.545317,15.174331,14.601954,14.322989,14.192525
1237668355109683276,259.40415406,43.13099619,16.565201,15.680191,15.974354,16.187014,16.337498
1237668355109683280,259.40241869,43.11777511,22.197145,17.958416,16.844896,16.416615,16.195562
1237668355109683282,259.40542914,43.14580536,18.273676,17.208664,16.760872,16.561523,16.47887
1237668355109683293,259.40528395,43.1176974,19.023785,17.971836,17.60256,17.434978,17.428249
1237668355109683294,259.39672259,43.13494944,19.178034,17.859219,17.47884,17.323402,17.3916
1237668355109683318,259.40728337,43.15382811,19.753773,22.079805,21.442505,21.848064,20.824429
1237668355109683327,259.40718832,43.12279124,19.963957,19.253681,19.029106,18.945894,19.058861
1237668355109617859,259.37844839,43.20253268,21.729448,22.28167,16.687284,16.361393,16.185888
1237668355109617860,259.38487836,43.20237634,18.519695,17.34915,17.000385,20.328825,16.82452
1237668355109617861,259.40361186,43.19028262,19.56435,17.648262,16.946428,16.733978,16.642649
1237668355109617862,259.412434,43.16749336,18.501329,17.436924,16.94446,16.771729,16.716019
1237668355109617863,259.39808588,43.19064585,18.575375,17.509663,17.031693,16.864349,16.785109
1237668355109617866,259.39771283,43.18435745,21.355778,18.902145,17.836739,17.522947,17.370432
1237668355109617870,259.34068322,43.22516834,19.237835,18.310728,18.008114,17.907663,17.938986
1237668355109617873,259.3451558,43.22601814,19.249155,21.355665,20.734303,20.324747,19.469418
1237668355109618015,259.38003464,43.21047035,18.838675,17.816217,17.371506,17.202545,17.147909
1237668355109618016,259.38081163,43.20867421,20.112051,19.18853,18.918226,18.859097,18.960188
1237668355109618017,259.38253102,43.20884465,22.252491,22.191042,20.975189,20.857645,20.457914
1237668355109618019,259.37836366,43.21265293,23.857531,22.79711,22.043352,21.700275,21.64492
1237668355109618020,259.38069853,43.2123662,23.636152,23.506733,22.983095,21.962702,22.782673
1237668355109618021,259.38294435,43.21002606,25.521172,24.097036,22.967434,22.283525,22.012939
1237668355109619237,259.37532616,43.2113057,23.396898,22.080038,21.355289,21.005226,21.216932
1237668355109619409,259.41175266,43.16166421,26.294174,24.219196,22.970575,23.859638,22.423891
1237668355109683279,259.41221901,43.09930481,20.442337,17.654114,16.320677,15.721891,15.406722
1237668355109683283,259.40962552,43.10363731,23.420992,18.510647,17.171665,16.602072,16.2803
1237668355109683295,259.41016324,43.10566584,19.160088,18.095699,17.76479,17.625784,17.594776
1237668355109683296,259.42035438,43.14385852,19.115795,18.014063,17.856287,17.763617,18.004112
1237668355109683302,259.41859437,43.14401349,19.50849,18.452372,18.173553,17.977905,18.212128
