objid,ra,dec,u,g,r,i,z
1237654670273085500,151.37894486,0.07006794,23.834476,22.390305,22.022671,21.435694,21.261145
1237654670273085456,151.37685029,0.06974348,20.684214,18.515337,17.627323,17.285986,17.127523
1237654670273085457,151.3814938,0.07131684,21.124002,18.814802,17.833473,17.448023,17.220133
1237654670273085496,151.38167983,0.07000425,22.844648,22.089457,21.691961,21.28668,22.114887
1237654670273085518,151.37831361,0.07328215,23.530861,23.150335,22.223713,21.950766,22.028782
1237654670273085458,151.37832336,0.06726696,21.231722,19.013977,18.107367,17.732807,17.518005
1237654670273085463,151.38266346,0.07118598,21.504107,19.715696,19.060749,18.733925,18.595285
1237654670273085475,151.38260529,0.07364517,22.767542,22.346724,24.801794,24.361835,19.782909
1237654670273085497,151.3764658,0.06743277,23.436102,22.127224,21.659714,21.374384,21.074728
1237654670273085501,151.37505917,0.06947418,22.95116,21.923563,21.931656,21.476641,21.792791
1237654670273085507,151.38207796,0.07210165,22.789486,22.111534,21.54624,21.652128,20.857616
1237654670273085508,151.37620058,0.06868593,23.18734,22.390068,22.078426,21.675203,21.75889
1237654670273085471,151.37483142,0.06767509,21.747873,20.696011,20.046345,19.686518,19.727938
1237654670273085480,151.37347398,0.06990554,19.968733,19.507662,25.779255,25.123205,23.685848
1237654670273085487,151.37477395,0.07449874,23.777222,23.479868,21.221802,20.846397,21.880482
1237654670273085490,151.37868012,0.06409554,25.647654,22.019016,21.521196,21.123272,22.66745
1237654670273085493,151.38357574,0.07123696,25.019144,22.076315,21.299618,21.105564,20.800282
1237654670273085509,151.38470783,0.07252701,23.326786,22.177353,21.718014,21.674822,21.833113
1237654670273085513,151.38047158,0.07615707,23.632994,23.039516,22.313913,21.843565,22.370785
1237654670273085523,151.38330869,0.06913858,23.993092,22.52644,22.536287,21.951811,23.510187
1237654670273085526,151.38470487,0.06814773,24.612608,22.882938,22.125366,22.278828,21.307772
1237654670273085528,151.3851406,0.07380927,24.85475,22.863773,22.325777,22.111397,22.226013
1237654670273085453,151.36986539,0.06697558,17.129759,14.824445,13.510599,15.776613,13.037005
1237654670273085461,151.38778659,0.07616546,21.739267,19.714794,18.853451,18.54063,18.431652
1237654670273085462,151.38691559,0.07664289,21.63456,19.719725,19.018003,18.713184,18.574497
1237654670273085464,151.38829774,0.06578997,21.594101,19.927053,19.177452,18.84922,18.698807
1237654670273085465,151.38638321,0.07679607,22.204775,20.514021,19.752127,19.447336,19.254885
1237654670273085466,151.38575884,0.07558447,21.978949,20.251328,19.563429,19.239262,19.291983
1237654670273085467,151.38711268,0.07385038,21.629274,20.217485,19.504156,19.179562,19.052006
1237654670273085473,151.38790801,0.07659387,22.65859,21.244041,20.962296,20.873674,20.45883
1237654670273085477,151.36980972,0.06956941,24.782894,24.532125,26.985817,26.530653,20.150461
1237654670273085482,151.38139629,0.07782482,23.063286,20.786358,24.801506,24.362093,20.303467
1237654670273085484,151.37545741,0.07935587,22.806515,21.241575,23.320555,21.765778,20.494873
1237654670273085488,151.38824901,0.06657248,23.089634,22.134399,21.187014,20.88999,21.4869
1237654670273085489,151.37875677,0.08013462,23.047003,21.546997,24.805317,23.093102,22.828362
1237654670273085491,151.37692599,0.07989487,25.266632,24.982265,23.009279,21.218378,20.460775
1237654670273085492,151.37198969,0.07350918,23.191954,22.726257,22.158495,21.507975,22.827593
1237654670273085498,151.37513833,0.06470938,23.92905,23.073481,21.955067,21.480602,21.778185
1237654670273085499,151.37643429,0.06351137,22.268024,21.985928,21.932549,21.419697,21.477991
1237654670273085504,151.37013487,0.07157268,24.509968,23.7798,22.581976,21.624271,21.572559
1237654670273085505,151.37059343,0.072279,23.04571,22.250406,21.856514,21.61474,22.112818
1237654670273085506,151.38889713,0.07166427,23.06538,22.210003,21.706257,21.606106,21.350088
1237654670273085510,151.37228351,0.06532092,24.922987,25.947586,24.879501,21.864937,23.718601
1237654670273085515,151.3712258,0.07133142,25.256973,24.649836,24.601536,22.164684,21.063568
1237654670273085517,151.3759698,0.06262358,25.146278,23.646152,22.583069,22.06262,21.59215
