ra,dec,name
005.9295,+29.4010,SW And
019.3642,+38.9506,XX And
355.6285,+43.0143,AT And
028.7846,+43.7657,CI And
016.3569,+34.2204,DR And
154.0206,-29.7284,WY Ant
222.2084,-71.3283,TY Aps
223.0226,-79.6796,XZ Aps
318.8244,+00.0763,SW Aqr
324.0352,+03.2306,SX Aqr
330.4814,-05.6008,TZ Aqr
343.5340,-12.3607,BO Aqr
354.6370,-09.3187,BR Aqr
314.4517,-05.6852,BT Aqr
317.5535,-01.7212,CP Aqr
349.8217,-24.2163,DN Aqr
309.5627,-02.8901,AA Aql
308.1315,+00.5853,V341 Aql
269.7947,-49.4335,S Ara 
270.7679,-52.7224,MS Ara
047.1287,+10.4459,X Ari 
107.8959,+40.7770,TZ Aur
218.3884,+31.7546,RS Boo
232.6635,+35.7845,ST Boo
216.8957,+36.0456,SW Boo
220.5557,+28.2065,SZ Boo
221.2748,+41.0289,TW Boo
229.2722,+35.1160,UU Boo
209.6931,+12.9518,UY Boo
139.7751,+29.0655,RW Cnc
121.6065,+23.2516,SS Cnc
128.2299,+13.1912,TT Cnc
139.4124,+12.6509,AQ Cnc
126.4256,+25.7191,AS Cnc
211.6166,+37.8282,W CVn 
192.4396,+43.7740,Z CVn 
209.8886,+31.6511,RU CVn
206.2626,+32.6546,RZ CVn
207.0664,+39.9008,SS CVn
188.9835,+37.2067,SV CVn
190.2117,+37.0927,SW CVn
187.6154,+40.5089,UZ CVn
117.2377,+05.6365,AL CMi
188.1901,+27.0293,S Com 
196.2833,+23.2785,RY Com
199.4639,+20.7808,ST Com
281.9901,-37.7396,V413 CrA
230.5893,+26.8771,TV CrB
171.6235,-17.9144,W Crt 
177.2343,-10.4413,X Crt 
314.1179,+30.4279,UY Cyg
293.1221,+56.3882,XZ Cyg
320.2982,+32.1914,DM Cyg
311.8682,+12.4641,DX Del
248.8817,+57.8398,RW Dra
174.4859,+67.3297,SU Dra
184.4443,+69.5106,SW Dra
287.4275,+64.8589,XZ Dra
276.7781,+55.4924,AE Dra
273.5794,+76.6857,BC Dra
289.5861,+66.4133,BK Dra
222.9360,+60.0692,BT Dra
072.4345,-15.7412,RX Eri
047.9671,-11.3539,SV Eri
073.4063,-19.4336,BB Eri
031.9666,-26.8660,SS For
052.5931,-36.0538,SX For
110.3897,+30.8832,RR Gem
118.4310,+19.2733,SZ Gem
268.6300,+30.4105,TW Her
247.6700,+18.3668,VX Her
258.2667,+35.9786,VZ Her
240.1343,+46.9238,AR Her
260.1307,+14.4824,DL Her
249.5754,+37.8013,GY Her
187.6271,-26.0475,SV Hya
138.4534,-09.3191,SZ Hya
144.1241,+04.1113,UU Hya
153.3505,-13.1382,WZ Hya
137.4558,-15.5997,XX Hya
123.1326,+02.8347,DD Hya
134.5266,-05.4402,DG Hya
135.0738,-09.7825,DH Hya
128.7735,-08.8459,ET Hya
133.7095,+06.3911,GO Hya
317.8746,-45.0746,V Ind 
315.3703,-15.2295,RV Cap
